episode,total_reward
1,-446.1119248568765
2,-205.60774743730312
3,-1192.8328252613542
4,-1554.7733037710186
5,-1597.1323436290027
6,40.012870088219664
7,16.798599326610574
8,-40.40620496943595
9,56.288586050271974
10,-48.16689102463427
11,-34.09393819924447
12,-22.297841283306465
13,5.115118812024612
14,-142.227001810614
15,-70.32383535653356
16,130.34530593156825
17,213.08649374693624
18,242.11076144054542
19,228.68184969946742
20,231.88560320362453
21,233.53441653661426
22,234.92555460706353
23,237.39589532762778
24,228.59004647945991
25,221.71650645285834
26,232.91203459203234
27,227.9563930181787
28,213.91045839544387
29,220.59422666989266
30,224.0663016632199
31,232.4114420682192
32,218.2580838719382
33,235.51199686285116
34,234.9946030937137
35,235.89241592213511
