episode,total_reward
1,-1456.4072891548276
2,-1495.760022096336
3,-1495.2981953844428
4,-1495.3544126227498
5,-1495.9025273174047
6,-1495.9773739725351
7,-1495.2807848528028
8,-1495.1643638014793
9,-1493.2312249466777
10,-1494.255879059434
11,-1491.081839852035
12,-1490.1631201207638
13,-752.6349158883095
14,-717.6071191430092
15,-581.9957788586617
16,-570.5837383270264
17,-594.3495664000511
18,-582.9424560070038
19,-552.1832607984543
20,-578.5981125682592
21,-551.9055063724518
22,-589.6241620182991
23,-572.8316456377506
24,-576.3211033344269
25,-575.2372784018517
26,-548.6360527873039
27,-560.9234538972378
28,-547.9555072188377
29,-554.2163768708706
30,-565.6043195426464
